objectid,NTA,Neighborhood,Borough,Postcode,Restaurant Name,Business Address,Bulding Number,Street,globalid,Seating Interest (Sidewalk/Roadway/Both),Legal Business Name,Doing Business As (DBA),Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,Zip Code,Neighborhood 2
42,,,Staten Island,10307,mangia,"7517 -19 amboy roaf, Staten Island, NY",7517 -19,amboy roaf,78afc7a0-6b0e-4627-800e-970d3beb3c69,sidewalk,pgj food inc.,pgj food inc.,50099264,34,7,238,,,,yes,no,yes,1323684,OP,no,,yes,6/19/2020,,,,,,,,,
360,,,Staten Island,10310,Dolce Fantasia,"1210  Llewellyn, Staten Island, NY",1210,Llewellyn,b2b6036d-4cff-4672-8252-30787a7c9374,both,Dolce Fantasia LLC,Dolce Fantasia LLC,50086569,16,50,800,20,8,160,yes,yes,no,,,no,,yes,6/19/2020,,,,,,,,,
730,,,Staten Island,10314,Jimmy Max,"280 280 Watchogue Rd, Staten Island, NY",280,280 Watchogue Rd,57aa2844-23cc-4a43-8bd0-501f5ff0080f,sidewalk,Cafe Di Sicilia INC,Jimmy Max,40387243,60,2,120,,,,yes,no,yes,913934,OP,no,,yes,6/19/2020,,,,,,,,,
1015,,,Staten Island,10306,Zara Cafe Grill,"1995 Hylan, Staten Island, NY",1995,Hylan,6ecaf578-de2c-42f8-8b8a-9ba271ab36f7,both,1995 Hylan Restaurant Corp,1995 Hylan Restaurant Corp,50070120,55,15,825,45,8,360,yes,yes,yes,1314151,RW,no,,yes,6/19/2020,,,,,,,,,
1146,,,Staten Island,10301,Flour and Oak,"12 Minthorne, Staten Island, NY",12,Minthorne,96fa06de-88f4-47f1-8bf3-41e347e1dc1f,both,Pizza Project LLC,Flour and Oak,50090515,25,10,250,25,8,200,yes,yes,yes,B0889564,OP,no,,yes,6/19/2020,,,,,,,,,
1315,,,Staten Island,10301,DaddyO’s bbq,"2 Minthorne , Staten Island, NY",2,Minthorne,365859f2-18d1-49b2-8059-7add65a3c972,both,DaddyO’s on bay inc,DaddyO’s on bay inc,50064474,8,50,400,8,50,400,yes,yes,no,,,no,,yes,6/19/2020,,,,,,,,,
1709,,,Staten Island,10306,CornerHouse BBQ,"100 Lincoln , Staten Island, NY",100,Lincoln,db89f93c-4170-47fe-8629-0ea55723338b,sidewalk,CornerHouse BBQ LLC,CornerHouse BBQ LLC,50076181,20,9,180,,,,yes,no,yes,1308881,OP,no,,yes,6/19/2020,,,,,,,,,
2271,,,Staten Island,10306,Lastrada restaurant,"139/ 143/ New Dorp lane, Staten Island, NY",139/ 143/,New Dorp lane,{919075b3-32a5-4b9a-88d4-8710217843d4},both,Duet inc.,Lastrada restaurant,40391857,40,15,600,40,15,600,yes,yes,yes,1043130,OP,no,,yes,6/20/2020,,,,,,,,,
2865,,,Staten Island,10305,Bocelli,"10 A Hylan Bkvd, Staten Island, NY",1899-12-31T10:00:00.000,Hylan Bkvd,{b972023d-4520-42ec-85c0-1158289bc172},sidewalk,Bocelli Ristorante,Bocelli Ristorante,50047645,15,25,375,,,,yes,no,yes,1289271,OP,no,,yes,6/21/2020,,,,,,,,,
2919,,,Staten Island,10314,Le roi lounge,"10 AKron , Staten Island, NY",1900-01-10T00:00:00.000,AKron,{dfbce8c7-2e06-40c6-8065-0dca14665c29},both,Gashwa inc,Le roi lounge,50002463,30,15,450,30,15,450,yes,yes,yes,1294157,OP,yes,yes,yes,6/21/2020,,,,,,,,,
4283,,,Staten Island,10306,FRUTAS LOCAS MARY CORP,"48 NEW DOLP PLZ S, Staten Island, NY",48,NEW DOLP PLZ S,{3353582D-E084-4BA4-8609-CDCBD805E81D},both,FRUTAS LOCAS MARY CORP,FRUTAS LOCAS MARY CORP,50104488,18,20,360,18,8,144,yes,yes,no,,,no,,yes,6/23/2020,,,,,,,,,
4883,,,Staten Island,10310,NURNBERGER BIERHAUS,"817 817 castleton ave, , Staten Island, NY",1902-03-27T00:00:00.000,"817 castleton ave,",{97451C60-2D0B-41A6-895B-F4662B4969A3},both,NURNBERGER CORP,NURNBERGER BIERHAUS,41123415,25,12,300,25,8,200,yes,yes,yes,1170313,OP,no,,yes,6/24/2020,,,,,,,,,
4893,,,Staten Island,10307,Don Cesar restaurant Bar  llc,"7914 7528 amboy road, Staten Island, NY",1921-08-31T00:00:00.000,7528 amboy road,{9F7683A6-E1CE-49CD-8A07-DD2958995CA6},sidewalk,Don Cesar Restaurant bar llc,don cesar,81-5394765,48,6,288,,,,yes,no,no,,,no,,yes,6/24/2020,,,,,,,,,
5318,,,Staten Island,10301,ATLIXCO BAKERY & DELI,"10-12 ST PAULS AVENUE, Staten Island, NY",2020-10-12T00:00:00.000,ST PAULS AVENUE,{0406372E-A0E5-4CAE-8530-011D3348AAEC},sidewalk,ATLIXCO BAKERY & DELI INC,ATLIXCO BAKERY & DELI,41466245,20,16,320,,,,yes,no,yes,1307484,EB,no,,yes,6/25/2020,,,,,,,,,
6558,,,Staten Island,10303,Hook & Reel Cajun Seafood,"1756 1756 Forest Ave, Staten Island, NY",1904-10-21T00:00:00.000,1756 Forest Ave,{EFEC3EE3-50B1-41D4-8A2A-040B58C12B13},sidewalk,Cajun Restaurant Forest LLC,Cajun Restaurant Forest LLC,50097242,50,12,600,,,,yes,no,yes,1317965,OP,no,,yes,6/30/2020,,,,,,,,,
3282,Arden Heights,Arden Heights,Staten Island,10312,Villa Monte Pizzeria and Restaurant,"262 Arden Avenue, Staten Island, NY",1900-09-18T00:00:00.000,Arden Avenue,{77a1c058-d906-46e1-8c4f-533f340f6560},sidewalk,Villa Monte Di Positano Restaurant and Pizzeria Inc.,Villa Monte Di Positano Restaurant and Pizzeria Inc.,02-10080,6,26,156,,,,yes,no,yes,1043273,RW,no,,yes,6/22/2020,40.553084,-74.191733,503,51,17010,5107725,5060250035,,
175,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,Laila restaurant,"45  Page ave , Staten Island, NY",45,Page ave,47ecea96-5e73-49db-8f77-08a5ce917842,both,Laila restaurant & lounge inc,Laila restaurant & lounge inc,50086497,30,30,900,30,30,900,yes,yes,no,,,no,,yes,6/19/2020,40.522783,-74.234917,503,51,226,5127308,5075780050,,
364,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,W’s Bar and Restaurant LLC,"7001 C  Amboy Road, Staten Island, NY",7001 C,Amboy Road,81ebafa7-26aa-49a6-87ca-e7e4bf285f4c,roadway,W’s Bar and Reataurant LLC,W’s Bar and Reataurant LLC,50080247,,,,70,24,1680,no,yes,yes,1043168,OP,no,,yes,6/19/2020,40.51585,-74.233504,503,51,248,5088658,5080080014,,
399,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10312,Reggianos Brick Oven Pizza,"7001  Amboy Rd, Staten Island, NY",7001,Amboy Rd,f1ca1700-65db-4784-8dde-9f5378f0fc41,sidewalk,RBOP I LLC,Reggianos Brick Oven Pizza,41636059,100,10,1000,,,,yes,no,no,,,no,,yes,6/19/2020,40.51585,-74.233504,503,51,248,5088658,5080080014,,
633,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,z two restaurant,"2925  Veterans road west , Staten Island, NY",2925,Veterans road west,15df627d-6836-49f5-86d8-e0cddabaf414,both,Z two restaurant and lounge,Z two restaurant and lounge,41597047,40,40,1600,40,40,1600,yes,yes,yes,1272913,OP,no,,yes,6/19/2020,40.527704,-74.230963,503,51,226,5150129,5075110150,,
1748,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,Cabo,"96 Page Avenue , Staten Island, NY",96,Page Avenue,05068876-a269-4f2a-86c6-7aa2fc534640,both,Cabo Page Avenue Associates LLC,Cabo Page Avenue Associates LLC,50101601,46,20,920,46,20,920,yes,yes,yes,1328667,OP,no,,yes,6/19/2020,40.521899,-74.235025,503,51,226,5158669,5075800005,,
1769,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,ZioToto Restaurant,"86 page avenue, Staten Island, NY",86,page avenue,61a0e88b-f1a3-463b-8589-5643a7291147,both,Ziototo of staten island corp.,Ziototo of staten island corp.,41645548,40,22,880,40,22,880,yes,yes,yes,1258078,OP,no,,yes,6/19/2020,40.522066,-74.235011,503,51,226,5158670,5075800007,,
1963,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Dani's Italian Bistro,"7331 Amboy Road, Staten Island, NY",7331,Amboy Road,5b6ab6e3-ecc9-45c4-80c3-46ee9d4a3f62,sidewalk,Dani's Italian Bistro Inc.,Dani's Italian Bistro,50000204,25,12,300,,,,yes,no,yes,1271755,OP,no,,yes,6/19/2020,40.511019,-74.241583,503,51,248,5089143,5080430015,,
2101,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Towne Deli & Pizzeria,"5373 arthur kill road, Staten Island, NY",5373,arthur kill road,{9158e2a3-2939-411d-877f-0d63cb50fa52},sidewalk,Hinge of Staten Island Inc,Hinge of Staten Island Inc,4.05E+12,25,8,200,,,,yes,no,yes,1226526,RW,no,,yes,6/20/2020,40.513376,-74.248014,503,51,248,5088593,5079990024,,
2144,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,Page plaza diner,"75 Page avenue , Staten Island, NY",75,Page avenue,{09249aa1-4aee-4d44-81cf-dd4b69b1797f},both,Page plaza restaurant inc,Page plaza diner,41297788,100,6,600,30,30,900,yes,yes,yes,1224201,OP,no,,yes,6/20/2020,40.52233,-74.234962,503,51,226,5114091,5075780035,,
2302,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Villa Monte Pizzeria & Restaurant,"7001  Amboy Road, Staten Island, NY",1919-03-02T00:00:00.000,Amboy Road,{8d3a1f1c-87ea-4f1b-8e6f-75d76ad120c7},sidewalk,Villa Monte Pizzeria &Restaurant,Villa Monte Pizzeria & Restaurant Inc.,13-3544722,12,26,312,,,,yes,no,yes,1043396,RW,no,,yes,6/20/2020,40.51585,-74.233504,503,51,248,5088658,5080080014,,
3198,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,E Squared Cafe,"240 Page Avenue, Staten Island, NY",1900-08-27T00:00:00.000,Page Avenue,{1ecb71d3-9ce7-49d3-8900-db96d4c04202},sidewalk,Gihan Tadoros,E Squared Cafe,04-08349,20,3,60,,,,yes,no,yes,1290633,TW,no,,yes,6/22/2020,40.518129,-74.234494,503,51,248,5141719,5080080134,,
